width	length	x	Vmax 
5.940000 8.410000 1.143800 25.577031 numThread:%!d(MISSING) 
8.410000 11.890000 1.618700 72.447247 numThread:%!d(MISSING) 
4.200000 5.940000 0.808500 9.027961 numThread:%!d(MISSING) 
2.100000 2.970000 0.404200 1.128495 numThread:%!d(MISSING) 
2.970000 4.200000 0.571700 3.191907 numThread:%!d(MISSING) 
1.480000 2.100000 0.285200 0.396806 numThread:%!d(MISSING) 
8.250000 7.200000 1.278600 33.794078 numThread:%!d(MISSING) 
9.720000 1.210000 0.292500 1.669992 numThread:%!d(MISSING) 
7.200000 2.040000 0.468700 3.236440 numThread:%!d(MISSING) 
5.110000 5.160000 0.855800 10.029157 numThread:%!d(MISSING) 
1.810000 3.700000 0.384200 1.173176 numThread:%!d(MISSING) 
5.660000 9.630000 1.151200 28.323146 numThread:%!d(MISSING) 
8.980000 5.450000 1.099000 24.238515 numThread:%!d(MISSING) 
9.460000 3.880000 0.850600 14.379285 numThread:%!d(MISSING) 
5.810000 8.790000 1.142900 26.197670 numThread:%!d(MISSING) 
4.580000 0.770000 0.183700 0.311554 numThread:%!d(MISSING) 
6.970000 7.980000 1.237300 30.621907 numThread:%!d(MISSING) 
7.440000 3.240000 0.703200 7.779649 numThread:%!d(MISSING) 
3.930000 4.350000 0.687300 5.225774 numThread:%!d(MISSING) 
1.820000 4.520000 0.400200 1.517760 numThread:%!d(MISSING) 
3.040000 0.540000 0.128500 0.101205 numThread:%!d(MISSING) 
4.340000 5.480000 0.802000 8.504998 numThread:%!d(MISSING) 
9.720000 9.190000 1.574000 62.500430 numThread:%!d(MISSING) 
9.050000 9.160000 1.517400 55.907545 numThread:%!d(MISSING) 
6.670000 0.690000 0.167800 0.376696 numThread:%!d(MISSING) 
6.980000 6.240000 1.096500 21.242482 numThread:%!d(MISSING) 
6.720000 0.880000 0.212300 0.608648 numThread:%!d(MISSING) 
5.990000 1.410000 0.329300 1.319180 numThread:%!d(MISSING) 
8.790000 3.990000 0.859500 13.802058 numThread:%!d(MISSING) 
4.110000 2.840000 0.550800 2.880575 numThread:%!d(MISSING) 
1.730000 3.270000 0.361100 0.927187 numThread:%!d(MISSING) 
7.490000 0.760000 0.184900 0.513708 numThread:%!d(MISSING) 
3.430000 2.100000 0.422400 1.370664 numThread:%!d(MISSING) 
4.600000 0.960000 0.226200 0.476224 numThread:%!d(MISSING) 
5.790000 6.760000 1.036500 18.057467 numThread:%!d(MISSING) 
5.360000 5.030000 0.864500 10.361837 numThread:%!d(MISSING) 
4.330000 7.970000 0.898200 14.049135 numThread:%!d(MISSING) 
8.740000 4.720000 0.980500 18.338547 numThread:%!d(MISSING) 
8.310000 3.750000 0.808700 11.542283 numThread:%!d(MISSING) 
1.560000 9.020000 0.371700 2.512198 numThread:%!d(MISSING) 
2.690000 8.530000 0.611100 6.554896 numThread:%!d(MISSING) 
4.170000 2.800000 0.548100 2.870477 numThread:%!d(MISSING) 
0.050000 0.260000 0.011800 0.000074 numThread:%!d(MISSING) 
0.960000 5.280000 0.228100 0.554336 numThread:%!d(MISSING) 
1.420000 4.870000 0.325300 1.056056 numThread:%!d(MISSING) 
1.190000 6.320000 0.282200 1.016118 numThread:%!d(MISSING) 
3.800000 5.200000 0.723300 6.389091 numThread:%!d(MISSING) 
3.270000 6.920000 0.699000 7.225692 numThread:%!d(MISSING) 
9.280000 1.470000 0.351800 2.312365 numThread:%!d(MISSING) 
7.150000 8.610000 1.296500 35.549342 numThread:%!d(MISSING) 
2.990000 0.690000 0.161400 0.158074 numThread:%!d(MISSING) 
5.480000 8.330000 1.079500 22.123155 numThread:%!d(MISSING) 
4.760000 2.930000 0.588500 3.696368 numThread:%!d(MISSING) 
2.710000 4.940000 0.560900 3.401334 numThread:%!d(MISSING) 
4.930000 1.270000 0.294400 0.870607 numThread:%!d(MISSING) 
6.070000 6.510000 1.046400 18.383247 numThread:%!d(MISSING) 
5.350000 7.070000 1.005600 16.984907 numThread:%!d(MISSING) 
2.290000 1.840000 0.338100 0.634999 numThread:%!d(MISSING) 
0.450000 5.180000 0.109900 0.125488 numThread:%!d(MISSING) 
0.940000 9.560000 0.228900 1.004661 numThread:%!d(MISSING) 
5.060000 9.540000 1.055500 23.124022 numThread:%!d(MISSING) 
5.310000 8.290000 1.054500 20.863684 numThread:%!d(MISSING) 
3.820000 4.220000 0.667500 4.785458 numThread:%!d(MISSING) 
9.290000 0.710000 0.174000 0.563239 numThread:%!d(MISSING) 
6.990000 2.080000 0.475600 3.241974 numThread:%!d(MISSING) 
3.310000 2.920000 0.516100 2.219246 numThread:%!d(MISSING) 
2.490000 5.750000 0.540900 3.555746 numThread:%!d(MISSING) 
4.640000 0.720000 0.172500 0.277833 numThread:%!d(MISSING) 
2.950000 5.120000 0.603100 4.116088 numThread:%!d(MISSING) 
9.360000 6.580000 1.269100 34.992071 numThread:%!d(MISSING) 
2.140000 3.180000 0.418600 1.277651 numThread:%!d(MISSING) 
5.090000 8.160000 1.018600 19.039349 numThread:%!d(MISSING) 
7.910000 9.300000 1.420200 46.508125 numThread:%!d(MISSING) 
1.590000 2.570000 0.318900 0.586725 numThread:%!d(MISSING) 
2.570000 4.850000 0.536200 3.033462 numThread:%!d(MISSING) 
4.440000 6.460000 0.862700 11.087891 numThread:%!d(MISSING) 
2.500000 2.230000 0.392200 0.972684 numThread:%!d(MISSING) 
6.040000 7.360000 1.100500 21.795844 numThread:%!d(MISSING) 
6.230000 4.850000 0.902100 12.160400 numThread:%!d(MISSING) 
3.600000 5.410000 0.706700 6.175827 numThread:%!d(MISSING) 
5.190000 4.150000 0.764000 7.335748 numThread:%!d(MISSING) 
6.040000 2.970000 0.629800 5.149494 numThread:%!d(MISSING) 
9.590000 9.270000 1.571000 62.075463 numThread:%!d(MISSING) 
0.980000 1.430000 0.190600 0.119701 numThread:%!d(MISSING) 
9.430000 7.900000 1.427400 47.351424 numThread:%!d(MISSING) 
9.790000 9.030000 1.564500 61.495115 numThread:%!d(MISSING) 
1.510000 1.460000 0.247400 0.242420 numThread:%!d(MISSING) 
5.200000 9.120000 1.066000 22.854170 numThread:%!d(MISSING) 
6.480000 7.210000 1.136000 23.605062 numThread:%!d(MISSING) 
5.270000 3.830000 0.730400 6.591682 numThread:%!d(MISSING) 
8.460000 9.770000 1.507400 55.447320 numThread:%!d(MISSING) 
4.770000 0.520000 0.126300 0.152564 numThread:%!d(MISSING) 
3.190000 1.350000 0.294400 0.582922 numThread:%!d(MISSING) 
7.280000 5.140000 0.989900 16.580520 numThread:%!d(MISSING) 
0.800000 1.650000 0.170100 0.102442 numThread:%!d(MISSING) 
2.670000 4.960000 0.555100 3.333330 numThread:%!d(MISSING) 
4.020000 8.510000 0.859400 13.430625 numThread:%!d(MISSING) 
5.740000 1.090000 0.258300 0.773634 numThread:%!d(MISSING) 
5.840000 1.890000 0.428100 2.205679 numThread:%!d(MISSING) 
2.060000 4.750000 0.447400 2.009756 numThread:%!d(MISSING) 
1.020000 7.630000 0.245900 0.927141 numThread:%!d(MISSING) 
2.270000 5.800000 0.501300 3.048017 numThread:%!d(MISSING) 
4.290000 2.690000 0.537500 2.790821 numThread:%!d(MISSING) 
6.690000 9.520000 1.290400 36.795189 numThread:%!d(MISSING) 
8.190000 8.070000 1.354900 39.800144 numThread:%!d(MISSING) 
7.300000 7.110000 1.200500 27.694804 numThread:%!d(MISSING) 
2.610000 4.440000 0.530900 2.776676 numThread:%!d(MISSING) 
8.340000 4.490000 0.933400 15.849597 numThread:%!d(MISSING) 
8.740000 5.060000 1.033300 20.641362 numThread:%!d(MISSING) 
4.610000 9.930000 0.988800 20.699438 numThread:%!d(MISSING) 
6.450000 9.320000 1.250400 33.673753 numThread:%!d(MISSING) 
1.980000 7.810000 0.459600 3.359566 numThread:%!d(MISSING) 
3.220000 4.270000 0.606000 3.721121 numThread:%!d(MISSING) 
7.920000 8.220000 1.344300 38.899963 numThread:%!d(MISSING) 
9.530000 7.290000 1.364900 42.325920 numThread:%!d(MISSING) 
2.470000 2.040000 0.370700 0.832133 numThread:%!d(MISSING) 
9.840000 0.270000 0.067000 0.088441 numThread:%!d(MISSING) 
3.080000 4.150000 0.583000 3.329732 numThread:%!d(MISSING) 
