width	length	x	Vmax 
8.410000 11.890000 1.618700 72.447247
5.940000 8.410000 1.143800 25.577031
4.200000 5.940000 0.808500 9.027961
2.100000 2.970000 0.404200 1.128495
2.970000 4.200000 0.571700 3.191907
1.480000 2.100000 0.285200 0.396806
8.250000 7.200000 1.278600 33.794078
5.110000 5.160000 0.855800 10.029157
9.720000 1.210000 0.292500 1.669992
7.200000 2.040000 0.468700 3.236440
5.660000 9.630000 1.151200 28.323146
1.810000 3.700000 0.384200 1.173176
8.980000 5.450000 1.099000 24.238515
9.460000 3.880000 0.850600 14.379285
5.810000 8.790000 1.142900 26.197670
4.580000 0.770000 0.183700 0.311554
6.970000 7.980000 1.237300 30.621907
7.440000 3.240000 0.703200 7.779649
1.820000 4.520000 0.400200 1.517760
3.930000 4.350000 0.687300 5.225774
3.040000 0.540000 0.128500 0.101205
9.720000 9.190000 1.574000 62.500430
9.050000 9.160000 1.517400 55.907545
6.980000 6.240000 1.096500 21.242482
4.340000 5.480000 0.802000 8.504998
6.720000 0.880000 0.212300 0.608648
6.670000 0.690000 0.167800 0.376696
5.990000 1.410000 0.329300 1.319180
7.490000 0.760000 0.184900 0.513708
4.110000 2.840000 0.550800 2.880575
8.790000 3.990000 0.859500 13.802058
1.730000 3.270000 0.361100 0.927187
3.430000 2.100000 0.422400 1.370664
4.600000 0.960000 0.226200 0.476224
5.790000 6.760000 1.036500 18.057467
4.330000 7.970000 0.898200 14.049135
8.740000 4.720000 0.980500 18.338547
5.360000 5.030000 0.864500 10.361837
8.310000 3.750000 0.808700 11.542283
1.560000 9.020000 0.371700 2.512198
2.690000 8.530000 0.611100 6.554896
4.170000 2.800000 0.548100 2.870477
0.050000 0.260000 0.011800 0.000074
0.960000 5.280000 0.228100 0.554336
1.420000 4.870000 0.325300 1.056056
3.800000 5.200000 0.723300 6.389091
3.270000 6.920000 0.699000 7.225692
1.190000 6.320000 0.282200 1.016118
9.280000 1.470000 0.351800 2.312365
2.990000 0.690000 0.161400 0.158074
7.150000 8.610000 1.296500 35.549342
5.480000 8.330000 1.079500 22.123155
4.760000 2.930000 0.588500 3.696368
2.710000 4.940000 0.560900 3.401334
4.930000 1.270000 0.294400 0.870607
6.070000 6.510000 1.046400 18.383247
5.350000 7.070000 1.005600 16.984907
2.290000 1.840000 0.338100 0.634999
5.060000 9.540000 1.055500 23.124022
0.450000 5.180000 0.109900 0.125488
5.310000 8.290000 1.054500 20.863684
0.940000 9.560000 0.228900 1.004661
3.820000 4.220000 0.667500 4.785458
9.290000 0.710000 0.174000 0.563239
6.990000 2.080000 0.475600 3.241974
3.310000 2.920000 0.516100 2.219246
2.490000 5.750000 0.540900 3.555746
2.950000 5.120000 0.603100 4.116088
4.640000 0.720000 0.172500 0.277833
9.360000 6.580000 1.269100 34.992071
2.140000 3.180000 0.418600 1.277651
5.090000 8.160000 1.018600 19.039349
7.910000 9.300000 1.420200 46.508125
2.570000 4.850000 0.536200 3.033462
4.440000 6.460000 0.862700 11.087891
2.500000 2.230000 0.392200 0.972684
1.590000 2.570000 0.318900 0.586725
6.040000 7.360000 1.100500 21.795844
6.230000 4.850000 0.902100 12.160400
3.600000 5.410000 0.706700 6.175827
5.190000 4.150000 0.764000 7.335748
6.040000 2.970000 0.629800 5.149494
0.980000 1.430000 0.190600 0.119701
9.590000 9.270000 1.571000 62.075463
9.430000 7.900000 1.427400 47.351424
1.510000 1.460000 0.247400 0.242420
9.790000 9.030000 1.564500 61.495115
5.200000 9.120000 1.066000 22.854170
6.480000 7.210000 1.136000 23.605062
5.270000 3.830000 0.730400 6.591682
4.770000 0.520000 0.126300 0.152564
8.460000 9.770000 1.507400 55.447320
3.190000 1.350000 0.294400 0.582922
7.280000 5.140000 0.989900 16.580520
0.800000 1.650000 0.170100 0.102442
2.670000 4.960000 0.555100 3.333330
4.020000 8.510000 0.859400 13.430625
5.740000 1.090000 0.258300 0.773634
5.840000 1.890000 0.428100 2.205679
2.060000 4.750000 0.447400 2.009756
2.270000 5.800000 0.501300 3.048017
1.020000 7.630000 0.245900 0.927141
4.290000 2.690000 0.537500 2.790821
6.690000 9.520000 1.290400 36.795189
8.190000 8.070000 1.354900 39.800144
2.610000 4.440000 0.530900 2.776676
7.300000 7.110000 1.200500 27.694804
8.340000 4.490000 0.933400 15.849597
8.740000 5.060000 1.033300 20.641362
4.610000 9.930000 0.988800 20.699438
1.980000 7.810000 0.459600 3.359566
3.220000 4.270000 0.606000 3.721121
7.920000 8.220000 1.344300 38.899963
6.450000 9.320000 1.250400 33.673753
3.080000 4.150000 0.583000 3.329732
9.530000 7.290000 1.364900 42.325920
9.840000 0.270000 0.067000 0.088441
2.470000 2.040000 0.370700 0.832133
5.590000 6.880000 1.022600 17.525727
9.810000 2.790000 0.640800 8.243404
3.990000 4.740000 0.719500 6.058802
2.280000 2.190000 0.372300 0.826233
2.280000 7.740000 0.521800 4.320206
0.540000 8.150000 0.132700 0.287310
5.860000 6.320000 1.012800 16.677218
8.960000 2.160000 0.503500 4.616999
5.380000 2.450000 0.527400 3.182605
6.130000 1.160000 0.275000 0.936045
0.540000 9.330000 0.133000 0.330310
5.340000 8.120000 1.052100 20.480100
7.300000 6.480000 1.142300 24.035830
5.430000 0.610000 0.148000 0.238587
7.210000 0.280000 0.069300 0.069293
1.630000 2.390000 0.317500 0.554426
3.780000 3.090000 0.563900 2.934618
0.420000 5.280000 0.102800 0.111841
1.260000 1.600000 0.233300 0.209793
6.750000 4.360000 0.863700 11.420270
7.050000 6.310000 1.108200 21.927759
2.200000 7.890000 0.506300 4.134560
3.520000 7.710000 0.757400 9.408889
1.680000 0.650000 0.143800 0.072562
8.620000 5.130000 1.040000 20.744880
7.060000 2.480000 0.556100 4.524096
6.180000 9.250000 1.211600 31.073811
0.810000 4.510000 0.192600 0.337477
1.040000 4.500000 0.243200 0.540373
2.280000 3.320000 0.443100 1.503097
9.170000 5.730000 1.146100 27.098962
5.380000 1.010000 0.239500 0.623282
3.200000 2.690000 0.485300 1.860267
6.770000 5.040000 0.953000 14.527319
1.290000 7.940000 0.308300 1.520405
1.280000 5.130000 0.297500 0.924176
7.350000 7.660000 1.250000 31.282500
0.130000 6.280000 0.032300 0.013130
6.480000 5.600000 0.998700 16.128021
0.810000 9.240000 0.197900 0.724961
8.020000 7.220000 1.264800 32.571347
5.480000 5.010000 0.871500 10.639951
5.110000 5.340000 0.870200 10.554840
4.030000 3.400000 0.612500 3.736786
9.260000 7.190000 1.338700 39.765603
0.100000 2.710000 0.024800 0.003325
1.470000 0.070000 0.017300 0.000879
5.300000 0.870000 0.207800 0.461206
4.700000 8.150000 0.960700 16.626631
1.170000 8.890000 0.282200 1.422848
3.900000 4.330000 0.683000 5.129860
2.680000 4.060000 0.527400 2.575849
1.010000 1.770000 0.207000 0.167292
8.860000 6.790000 1.270400 34.112202
1.050000 9.180000 0.254600 1.193862
2.240000 9.140000 0.521500 5.054435
1.410000 6.520000 0.331400 1.450372
5.940000 1.820000 0.414800 2.099444
9.830000 2.640000 0.609700 7.457984
4.360000 0.760000 0.181000 0.288008
3.730000 4.240000 0.660100 4.644552
2.040000 6.630000 0.464700 2.942056
3.620000 3.940000 0.628300 3.984646
7.100000 1.420000 0.335500 1.615540
8.380000 8.700000 1.422600 46.099562
5.590000 9.460000 1.135400 27.093361
6.760000 7.100000 1.154000 24.619418
2.310000 5.790000 0.508600 3.138202
1.750000 1.760000 0.292500 0.400396
4.200000 5.030000 0.759900 7.149168
8.500000 2.410000 0.553700 5.331910
5.490000 9.370000 1.117600 25.953295
9.780000 5.820000 1.179900 30.294376
1.130000 2.370000 0.241100 0.294845
2.800000 1.980000 0.381100 0.945750
4.150000 5.370000 0.774000 7.697309
6.790000 5.210000 0.974300 15.383946
3.890000 9.280000 0.849700 14.110171
4.970000 1.160000 0.271100 0.741593
3.920000 0.580000 0.139200 0.152884
4.100000 3.890000 0.665100 4.715648
2.620000 1.060000 0.232900 0.298118
4.390000 1.470000 0.331600 0.997049
1.070000 2.620000 0.234700 0.303150
9.330000 9.190000 1.543200 58.808940
8.370000 6.940000 1.259200 32.579829
4.180000 0.530000 0.128000 0.137623
7.170000 8.650000 1.301100 35.943071
0.820000 9.410000 0.200300 0.756842
6.870000 7.140000 1.166800 25.440619
6.840000 9.140000 1.290900 36.049838
1.230000 6.890000 0.292500 1.189517
5.020000 0.920000 0.218500 0.483669
0.880000 3.010000 0.201600 0.250573
9.760000 2.950000 0.673300 9.082848
4.020000 0.820000 0.193500 0.304393
6.020000 8.880000 1.174800 28.158993
1.290000 5.060000 0.299300 0.923224
0.280000 6.280000 0.069200 0.060180
9.860000 5.960000 1.203200 31.869294
8.730000 4.610000 0.962600 17.586247
5.590000 5.290000 0.905600 11.904736
4.040000 4.110000 0.679100 5.011607
8.370000 7.250000 1.291700 34.880741
5.790000 5.840000 0.969100 14.564559
0.070000 6.810000 0.017500 0.004150
9.950000 8.870000 1.560600 61.265107
9.780000 0.770000 0.188600 0.696579
2.860000 1.500000 0.313700 0.611140
6.710000 4.550000 0.887900 12.153982
0.670000 5.060000 0.161600 0.265464
0.980000 3.530000 0.225600 0.367292
5.140000 5.850000 0.910100 12.175436
3.520000 2.120000 0.428400 1.441204
9.770000 9.180000 1.576900 62.871862
9.180000 8.070000 1.428600 47.085930
